Iteracja;Czas;Temperatura;Nastawa Grzejnika
224;1120.0;22.0;0.00
225;1125.0;21.8;0.00
226;1130.0;22.2;1.00
227;1135.0;22.0;0.00
228;1140.0;22.3;1.00
229;1145.0;22.1;0.00
230;1150.0;22.0;0.00
231;1155.0;22.3;1.00
232;1160.0;22.1;0.00
233;1165.0;22.0;0.00
234;1170.0;22.3;1.00
235;1175.0;22.1;0.00
236;1180.0;22.0;0.00
237;1185.0;22.3;1.00
238;1190.0;22.1;0.00
239;1195.0;21.9;0.00
240;1200.0;22.3;1.00
241;1205.0;22.1;0.00
242;1210.0;21.9;0.00
243;1215.0;22.2;1.00
244;1220.0;22.1;0.00
245;1225.0;21.9;0.00
246;1230.0;22.2;1.00
247;1235.0;22.1;0.00
248;1240.0;21.9;0.00
249;1245.0;22.2;1.00
250;1250.0;22.1;0.00
251;1255.0;21.9;0.00
252;1260.0;22.2;1.00
253;1265.0;22.1;0.00
254;1270.0;21.9;0.00
255;1275.0;22.2;1.00
256;1280.0;22.0;0.00
257;1285.0;21.9;0.00
258;1290.0;22.2;1.00
259;1295.0;22.0;0.00
260;1300.0;21.9;0.00
261;1305.0;22.2;1.00
262;1310.0;22.0;0.00
263;1315.0;21.9;0.00
264;1320.0;22.2;1.00
265;1325.0;22.0;0.00
266;1330.0;21.9;0.00
267;1335.0;22.2;1.00
268;1340.0;22.0;0.00
269;1345.0;21.8;0.00
270;1350.0;22.2;1.00
271;1355.0;22.0;0.00
272;1360.0;22.3;1.00
273;1365.0;22.1;0.00
274;1370.0;22.0;0.00
275;1375.0;22.3;1.00
276;1380.0;22.1;0.00
277;1385.0;22.0;0.00
278;1390.0;22.3;1.00
279;1395.0;22.1;0.00
280;1400.0;22.0;0.00
281;1405.0;22.3;1.00
282;1410.0;22.1;0.00
283;1415.0;21.9;0.00
284;1420.0;22.3;1.00
285;1425.0;22.1;0.00
286;1430.0;21.9;0.00
287;1435.0;22.2;1.00
288;1440.0;22.1;0.00
289;1445.0;21.9;0.00
290;1450.0;22.2;1.00
291;1455.0;22.1;0.00
292;1460.0;21.9;0.00
293;1465.0;22.2;1.00
294;1470.0;22.1;0.00
295;1475.0;21.9;0.00
296;1480.0;22.2;1.00
297;1485.0;22.1;0.00
298;1490.0;21.9;0.00
299;1495.0;22.2;1.00
300;1500.0;22.0;0.00
301;1505.0;21.9;0.00
302;1510.0;22.2;1.00
303;1515.0;22.0;0.00
304;1520.0;21.9;0.00
305;1525.0;22.2;1.00
306;1530.0;22.0;0.00
307;1535.0;21.9;0.00
308;1540.0;22.2;1.00
309;1545.0;22.0;0.00
310;1550.0;21.9;0.00
311;1555.0;22.2;1.00
312;1560.0;22.0;0.00
313;1565.0;21.8;0.00
314;1570.0;22.2;1.00
315;1575.0;22.0;0.00
316;1580.0;22.3;1.00
317;1585.0;22.1;0.00
318;1590.0;22.0;0.00
319;1595.0;22.3;1.00
320;1600.0;22.1;0.00
321;1605.0;22.0;0.00
322;1610.0;22.3;1.00
323;1615.0;22.1;0.00
324;1620.0;22.0;0.00
325;1625.0;22.3;1.00
326;1630.0;22.1;0.00
327;1635.0;22.0;0.00
328;1640.0;22.3;1.00
329;1645.0;22.1;0.00
330;1650.0;21.9;0.00
331;1655.0;22.3;1.00
332;1660.0;22.1;0.00
333;1665.0;21.9;0.00
334;1670.0;22.2;1.00
335;1675.0;22.1;0.00
336;1680.0;21.9;0.00
337;1685.0;22.2;1.00
338;1690.0;22.1;0.00
339;1695.0;21.9;0.00
340;1700.0;22.2;1.00
341;1705.0;22.1;0.00
342;1710.0;21.9;0.00
343;1715.0;22.2;1.00
344;1720.0;22.0;0.00
345;1725.0;21.9;0.00
346;1730.0;22.2;1.00
347;1735.0;22.0;0.00
348;1740.0;21.9;0.00
349;1745.0;22.2;1.00
350;1750.0;22.0;0.00
351;1755.0;21.9;0.00
352;1760.0;22.2;1.00
353;1765.0;22.0;0.00
354;1770.0;21.9;0.00
355;1775.0;22.2;1.00
356;1780.0;22.0;0.00
357;1785.0;21.8;0.00
358;1790.0;22.2;1.00
359;1795.0;22.0;0.00
360;1800.0;22.3;1.00
361;1805.0;22.1;0.00
362;1810.0;22.0;0.00
363;1815.0;22.3;1.00
364;1820.0;22.1;0.00
365;1825.0;22.0;0.00
366;1830.0;22.3;1.00
367;1835.0;22.1;0.00
368;1840.0;22.0;0.00
369;1845.0;22.3;1.00
370;1850.0;22.1;0.00
371;1855.0;22.0;0.00
372;1860.0;22.3;1.00
373;1865.0;22.1;0.00
374;1870.0;21.9;0.00
375;1875.0;22.3;1.00
376;1880.0;22.1;0.00
377;1885.0;21.9;0.00
378;1890.0;22.2;1.00
379;1895.0;22.1;0.00
380;1900.0;21.9;0.00
381;1905.0;22.2;1.00
382;1910.0;22.1;0.00
383;1915.0;21.9;0.00
384;1920.0;22.2;1.00
385;1925.0;22.1;0.00
386;1930.0;21.9;0.00
387;1935.0;22.2;1.00
388;1940.0;22.1;0.00
389;1945.0;21.9;0.00
390;1950.0;22.2;1.00
391;1955.0;22.0;0.00
392;1960.0;21.9;0.00
393;1965.0;22.2;1.00
394;1970.0;22.0;0.00
395;1975.0;21.9;0.00
396;1980.0;22.2;1.00
397;1985.0;22.0;0.00
398;1990.0;21.9;0.00
399;1995.0;22.2;1.00
400;2000.0;22.0;0.00
401;2005.0;21.8;0.00
402;2010.0;22.2;1.00
403;2015.0;22.0;0.00
404;2020.0;21.8;0.00
405;2025.0;22.2;1.00
406;2030.0;22.0;0.00
407;2035.0;22.3;1.00
408;2040.0;22.1;0.00
409;2045.0;22.0;0.00
410;2050.0;22.3;1.00
411;2055.0;22.1;0.00
412;2060.0;22.0;0.00
413;2065.0;22.3;1.00
414;2070.0;22.1;0.00
415;2075.0;22.0;0.00
416;2080.0;22.3;1.00
417;2085.0;22.1;0.00
418;2090.0;21.9;0.00
419;2095.0;22.3;1.00
420;2100.0;22.1;0.00
421;2105.0;21.9;0.00
422;2110.0;22.2;1.00
423;2115.0;22.1;0.00
424;2120.0;21.9;0.00
425;2125.0;22.2;1.00
426;2130.0;22.1;0.00
427;2135.0;21.9;0.00
428;2140.0;22.2;1.00
429;2145.0;22.1;0.00
430;2150.0;21.9;0.00
431;2155.0;22.2;1.00
432;2160.0;22.1;0.00
433;2165.0;21.9;0.00
434;2170.0;22.2;1.00
435;2175.0;22.0;0.00
436;2180.0;21.9;0.00
437;2185.0;22.2;1.00
438;2190.0;22.0;0.00
439;2195.0;21.9;0.00
440;2200.0;22.2;1.00
441;2205.0;22.0;0.00
442;2210.0;21.9;0.00
443;2215.0;22.2;1.00
444;2220.0;22.0;0.00
445;2225.0;21.9;0.00
446;2230.0;22.2;1.00
447;2235.0;22.0;0.00
448;2240.0;21.8;0.00
449;2245.0;22.2;1.00
450;2250.0;22.0;0.00
451;2255.0;22.3;1.00
452;2260.0;22.1;0.00
453;2265.0;22.0;0.00
454;2270.0;22.3;1.00
455;2275.0;22.1;0.00
456;2280.0;22.0;0.00
457;2285.0;22.3;1.00
458;2290.0;22.1;0.00
459;2295.0;22.0;0.00
460;2300.0;22.3;1.00
461;2305.0;22.1;0.00
462;2310.0;21.9;0.00
463;2315.0;22.3;1.00
464;2320.0;22.1;0.00
465;2325.0;21.9;0.00
466;2330.0;22.2;1.00
467;2335.0;22.1;0.00
468;2340.0;21.9;0.00
469;2345.0;22.2;1.00
470;2350.0;22.1;0.00
471;2355.0;21.9;0.00
472;2360.0;22.2;1.00
473;2365.0;22.1;0.00
474;2370.0;21.9;0.00
475;2375.0;22.2;1.00
476;2380.0;22.1;0.00
477;2385.0;21.9;0.00
478;2390.0;22.2;1.00
479;2395.0;22.0;0.00
480;2400.0;21.9;0.00
481;2405.0;22.2;1.00
482;2410.0;22.0;0.00
483;2415.0;21.9;0.00
484;2420.0;22.2;1.00
485;2425.0;22.0;0.00
486;2430.0;21.9;0.00
487;2435.0;22.2;1.00
488;2440.0;22.0;0.00
489;2445.0;21.9;0.00
490;2450.0;22.2;1.00
491;2455.0;22.0;0.00
492;2460.0;21.8;0.00
493;2465.0;22.2;1.00
494;2470.0;22.0;0.00
495;2475.0;22.3;1.00
496;2480.0;22.1;0.00
497;2485.0;22.0;0.00
498;2490.0;22.3;1.00
499;2495.0;22.1;0.00
500;2500.0;22.0;0.00
501;2505.0;22.3;1.00
502;2510.0;22.1;0.00
503;2515.0;22.0;0.00
504;2520.0;22.3;1.00
505;2525.0;22.1;0.00
506;2530.0;22.0;0.00
507;2535.0;22.3;1.00
508;2540.0;22.1;0.00
509;2545.0;21.9;0.00
510;2550.0;22.3;1.00
511;2555.0;22.1;0.00
512;2560.0;21.9;0.00
513;2565.0;22.2;1.00
514;2570.0;22.1;0.00
515;2575.0;21.9;0.00
516;2580.0;22.2;1.00
517;2585.0;22.1;0.00
518;2590.0;21.9;0.00
519;2595.0;22.2;1.00
520;2600.0;22.1;0.00
521;2605.0;21.9;0.00
522;2610.0;22.2;1.00
523;2615.0;22.0;0.00
524;2620.0;21.9;0.00
525;2625.0;22.2;1.00
526;2630.0;22.0;0.00
527;2635.0;21.9;0.00
528;2640.0;22.2;1.00
529;2645.0;22.0;0.00
530;2650.0;21.9;0.00
531;2655.0;22.2;1.00
532;2660.0;22.0;0.00
533;2665.0;21.9;0.00
534;2670.0;22.2;1.00
535;2675.0;22.0;0.00
536;2680.0;21.8;0.00
537;2685.0;22.2;1.00
538;2690.0;22.0;0.00
539;2695.0;22.3;1.00
540;2700.0;22.1;0.00
541;2705.0;22.0;0.00
542;2710.0;22.3;1.00
543;2715.0;22.1;0.00
544;2720.0;22.0;0.00
545;2725.0;22.3;1.00
546;2730.0;22.1;0.00
547;2735.0;22.0;0.00
548;2740.0;22.3;1.00
549;2745.0;22.1;0.00
550;2750.0;22.0;0.00
551;2755.0;22.3;1.00
552;2760.0;22.1;0.00
553;2765.0;21.9;0.00
554;2770.0;22.3;1.00
555;2775.0;22.1;0.00
556;2780.0;21.9;0.00
557;2785.0;22.2;1.00
558;2790.0;22.1;0.00
559;2795.0;21.9;0.00
560;2800.0;22.2;1.00
561;2805.0;22.1;0.00
562;2810.0;21.9;0.00
563;2815.0;22.2;1.00
564;2820.0;22.1;0.00
565;2825.0;21.9;0.00
566;2830.0;22.2;1.00
567;2835.0;22.0;0.00
568;2840.0;21.9;0.00
569;2845.0;22.2;1.00
570;2850.0;22.0;0.00
571;2855.0;21.9;0.00
572;2860.0;22.2;1.00
573;2865.0;22.0;0.00
574;2870.0;21.9;0.00
575;2875.0;22.2;1.00
576;2880.0;22.0;0.00
577;2885.0;21.9;0.00
578;2890.0;22.2;1.00
579;2895.0;22.0;0.00
580;2900.0;21.8;0.00
581;2905.0;22.2;1.00
582;2910.0;22.0;0.00
583;2915.0;22.3;1.00
584;2920.0;22.1;0.00
585;2925.0;22.0;0.00
586;2930.0;22.3;1.00
587;2935.0;22.1;0.00
588;2940.0;22.0;0.00
589;2945.0;22.3;1.00
590;2950.0;22.1;0.00
591;2955.0;22.0;0.00
592;2960.0;22.3;1.00
593;2965.0;22.1;0.00
594;2970.0;22.0;0.00
595;2975.0;22.3;1.00
596;2980.0;22.1;0.00
597;2985.0;21.9;0.00
598;2990.0;22.3;1.00
599;2995.0;22.1;0.00
600;3000.0;21.9;0.00
601;3005.0;22.2;1.00
602;3010.0;22.1;0.00
603;3015.0;21.9;0.00
604;3020.0;22.2;1.00
605;3025.0;22.1;0.00
606;3030.0;21.9;0.00
607;3035.0;22.2;1.00
608;3040.0;22.1;0.00
609;3045.0;21.9;0.00
610;3050.0;22.2;1.00
611;3055.0;22.1;0.00
612;3060.0;21.9;0.00
613;3065.0;22.2;1.00
614;3070.0;22.0;0.00
615;3075.0;21.9;0.00
616;3080.0;22.2;1.00
617;3085.0;22.0;0.00
618;3090.0;21.9;0.00
619;3095.0;22.2;1.00
620;3100.0;22.0;0.00
621;3105.0;21.9;0.00
622;3110.0;22.2;1.00
623;3115.0;22.0;0.00
624;3120.0;21.9;0.00
625;3125.0;22.2;1.00
626;3130.0;22.0;0.00
627;3135.0;21.8;0.00
628;3140.0;22.2;1.00
629;3145.0;22.0;0.00
630;3150.0;22.3;1.00
631;3155.0;22.1;0.00
632;3160.0;22.0;0.00
633;3165.0;22.3;1.00
634;3170.0;22.1;0.00
635;3175.0;22.0;0.00
636;3180.0;22.3;1.00
637;3185.0;22.1;0.00
